%% weka file for methodology2 emotion

@relation Emotion
@attribute LEB1_CPLE1 numeric
@attribute LEB2_CPLE2 numeric
@attribute REB1_CPRE1 numeric
@attribute REB2_CPRE2 numeric
@attribute OPEN_LE1 numeric
@attribute OPEN_LE2 numeric
@attribute OPEN_RE1 numeric
@attribute OPEN_RE2 numeric
@attribute EXP_MO numeric
@attribute OPEN_MO1 numeric
@attribute OPEN_MO2 numeric
@attribute OPEN_MO3 numeric
@attribute NS_LPLIP numeric
@attribute NS_RPLIP numeric
@attribute betweenEyesWrinkles numeric
@attribute noseWrinkles numeric
@attribute label {anger, smile, sad, surprise, neutral, fear, disgust}

@data
25,22,21,25,13,12,12,12,83,24,23,24,30,31,170,251,surprise
25,27,27,25,14,14,14,14,93,28,26,28,39,39,31,174,surprise
26,27,29,27,14,13,13,13,96,38,37,38,40,41,37,204,surprise
39,40,38,37,13,14,12,12,77,62,61,61,42,48,97,127,surprise
20,19,19,23,18,17,17,17,78,48,46,46,37,32,34,228,surprise
23,21,20,23,15,15,15,15,80,46,44,46,37,33,14,221,surprise
35,34,34,34,10,11,11,11,64,32,31,32,26,25,179,301,surprise
34,34,35,35,12,11,11,11,66,32,30,31,27,25,132,295,surprise
31,33,32,30,14,14,15,15,71,46,45,47,45,44,26,126,surprise
33,31,28,30,14,13,14,14,90,40,39,41,32,35,66,308,surprise
35,32,30,32,12,12,12,12,91,42,41,43,32,38,55,327,surprise
21,19,20,23,12,12,11,11,94,21,20,21,28,27,231,323,anger
16,11,11,15,8,9,9,9,100,17,14,17,25,27,191,258,anger
18,13,11,16,9,10,10,10,101,23,21,23,31,24,127,412,anger
18,13,14,19,13,13,13,13,90,18,17,18,18,20,181,448,anger
17,10,9,16,11,11,11,11,104,21,21,22,21,19,149,392,anger
17,12,16,18,10,10,10,10,101,13,12,13,2,6,232,552,anger
23,22,22,22,14,14,13,13,98,26,25,27,31,34,180,310,anger
26,24,23,25,6,6,6,6,98,24,24,26,26,30,195,286,anger
21,16,18,22,10,11,10,10,102,26,24,25,30,37,205,393,anger
18,14,12,17,12,12,11,11,101,23,21,23,28,27,137,382,anger
17,15,14,16,13,12,12,12,82,11,11,11,23,21,99,452,anger
16,16,15,18,8,7,7,7,96,19,17,18,25,16,204,579,anger
17,14,12,15,11,10,10,10,93,25,22,25,27,24,272,599,anger
18,16,12,18,13,12,12,12,95,21,18,20,33,16,109,263,anger
20,18,17,19,10,9,10,10,85,31,29,30,31,30,173,434,anger
19,13,14,21,9,9,9,9,102,25,24,25,21,17,178,295,anger
22,19,20,21,12,12,12,12,75,23,21,23,24,23,290,543,anger
18,12,12,17,8,7,7,7,96,16,14,16,13,15,170,304,anger
20,16,18,22,12,12,12,12,91,24,21,23,29,32,201,291,anger
21,16,17,21,6,7,7,7,81,20,18,19,27,23,155,382,anger
16,14,14,15,12,12,13,13,91,27,24,27,30,32,67,172,anger
28,27,27,30,7,7,6,6,109,28,26,28,39,38,209,772,anger
22,22,20,19,12,12,12,12,98,16,14,16,16,11,119,76,anger
19,13,12,18,9,9,8,8,104,18,15,17,23,24,161,212,anger
20,13,12,19,9,10,9,9,104,19,16,18,24,25,205,240,anger
20,19,19,19,7,8,8,8,107,14,13,13,30,27,215,246,anger
21,20,20,20,6,7,8,8,106,13,11,12,29,26,221,241,anger
19,17,15,18,11,12,12,12,107,28,25,27,38,34,116,320,anger
19,17,14,16,13,14,14,14,107,28,26,28,39,34,120,324,anger
19,17,14,17,10,10,10,10,107,26,25,26,33,25,60,252,anger
19,18,16,18,11,12,11,11,100,24,23,24,34,25,77,258,anger
20,15,15,20,11,10,11,11,60,7,4,6,39,34,152,295,anger
26,25,24,27,9,9,9,9,93,26,24,26,38,27,206,743,anger
16,13,13,16,8,8,9,9,93,1,2,1,10,5,134,81,anger
18,16,17,17,13,13,14,14,92,8,6,7,16,18,57,64,anger
19,13,14,20,11,11,11,11,87,19,16,18,22,17,65,93,anger
20,14,15,22,11,11,10,10,87,18,15,17,21,18,59,92,anger
20,16,14,20,12,13,13,13,96,3,1,2,39,31,62,212,anger
16,13,13,16,12,11,12,12,94,28,25,26,27,30,38,120,anger
15,12,12,15,12,12,12,12,96,27,24,26,28,30,40,122,anger
15,11,12,15,12,12,12,12,90,27,25,26,28,27,55,149,anger
15,12,11,13,14,14,14,14,86,28,25,27,33,30,94,131,anger
22,21,19,21,7,6,7,7,88,16,14,16,25,30,77,278,anger
27,28,27,27,11,11,10,10,92,19,16,18,24,27,327,473,anger
21,19,19,21,7,7,6,6,91,19,18,19,28,32,60,301,anger
18,17,16,19,12,11,11,11,87,21,19,20,32,21,236,556,anger
14,9,7,13,8,8,8,8,91,14,12,13,16,16,196,366,anger
16,11,10,17,11,11,10,10,84,9,7,9,22,20,113,505,anger
19,16,17,21,8,8,7,7,93,25,23,25,32,28,220,517,anger
20,18,20,21,3,4,3,3,107,6,5,6,16,19,153,459,disgust
23,20,19,21,4,5,5,5,98,10,8,10,21,23,266,483,disgust
20,15,16,22,4,5,5,5,107,29,27,29,22,16,197,638,disgust
20,17,17,19,7,7,7,7,103,13,11,13,26,26,223,392,disgust
23,18,17,23,4,5,3,3,102,27,27,27,19,18,201,344,disgust
24,19,21,26,13,12,12,12,96,24,22,24,22,22,244,464,disgust
31,32,31,28,5,6,7,7,102,11,10,12,20,25,290,316,disgust
19,14,15,21,8,8,9,9,110,20,18,19,21,22,149,573,disgust
22,20,19,23,9,8,9,9,105,24,23,23,12,16,284,567,disgust
22,19,19,21,5,5,5,5,104,19,18,20,6,10,255,597,disgust
30,29,28,29,5,4,5,5,101,21,20,22,27,32,125,350,disgust
20,18,19,22,5,5,4,4,93,5,4,5,21,25,119,570,disgust
15,8,9,15,8,8,7,7,95,21,18,21,6,9,164,330,disgust
23,19,21,23,5,4,4,4,105,12,9,12,20,26,202,400,disgust
28,25,25,27,4,4,4,4,99,8,6,8,21,24,251,341,disgust
21,18,15,21,6,6,6,6,103,19,17,18,27,20,143,491,disgust
21,17,18,23,4,4,4,4,95,20,18,20,20,19,114,478,disgust
18,14,11,18,7,8,7,7,91,2,0,2,25,5,55,386,disgust
25,21,21,25,7,6,6,6,99,32,29,31,31,33,175,520,disgust
20,13,14,22,7,9,7,7,103,23,21,23,27,16,229,384,disgust
21,14,17,23,4,4,4,4,99,11,10,10,6,2,201,552,disgust
19,14,16,20,10,9,10,10,88,21,18,21,16,25,230,621,disgust
31,30,26,26,11,11,8,8,107,18,17,17,22,21,515,403,disgust
19,15,14,19,6,6,7,7,78,8,6,8,19,14,217,401,disgust
20,18,17,21,6,6,5,5,78,32,31,32,30,36,115,150,disgust
20,17,18,19,8,8,7,7,73,32,29,31,34,40,129,116,disgust
17,16,14,16,11,12,11,11,74,34,32,34,41,43,81,168,disgust
